,Fall,Spring,Summer
Year 1(In Portugal),Classes and Directed Study,Classes and Directed Study,Required Research
Year 2(In Pittsburgh),"Grammar and Lexicon
Structured Prediction
Directed Study","Language and Statistics
2 Self-Paced Labs
Directed Study",Required Research
Year 3(In Pittsburgh),Directed Research,Directed Research,Directed Research
Year 4 (In Portugal),Directed Research,Directed Research,Directed Research
Year 5(In Portugal),Directed Research,Directed Research,Directed Research
