,Fall,Spring,Summer
Year 1,"Grammars and Lexicons
Algorithms for NLP
Directed Study","Search Engines or Machine Learning for Text Mining
Machine Translation
Directed Study",Required Research
Year 2,"Software Engineering for LT (I)
Speech Understanding
Self-Paced Lab
Directed Study","Software Engineering for LT (II)
Self-Paced Lab
Directed Study",Required Research
Year 3,Directed Research,Directed Research,Directed Research
Year 4,Directed Research,Directed Research,Directed Research
Year 5,Directed Research,Directed Research,Directed Research
